product_id,vehicle_maker,vehicle_model,vehicle_color,car_model_year,car_price
4383,Jaguar,XJ Series,Indigo,2003,92186.18
3513,Mercury,Monterey,Orange,2006,71183.23
4520,Toyota,Land Cruiser,Fuscia,2011,82108.12
3616,Mitsubishi,Lancer,Blue,2004,96497.56
4700,Nissan,NX,Purple,1992,96090.34
4880,Mercury,Sable,Green,1999,76200.97
4372,Mazda,626,Aquamarine,1991,96579.16
4897,Ferrari,458 Italia,Red,2010,90756.74
3828,Dodge,Avenger,Blue,1997,87162.3
4949,Pontiac,Parisienne,Red,1986,87985.16
4504,Infiniti,J,Indigo,1993,93570.85
3550,Dodge,Intrepid,Violet,1993,75445.54
4585,Subaru,Outback,Pink,2011,81766.6
3796,Toyota,Highlander,Crimson,2003,95030.52
3765,Chevrolet,2500,Turquoise,1994,71241.16
3966,Buick,LeSabre,Crimson,1999,94304.16
3777,Volkswagen,Cabriolet,Orange,1992,76446.29
4688,Pontiac,Gemini,Orange,1987,88633.4
4179,Nissan,Quest,Blue,1993,76875.97
3978,Chevrolet,Silverado 2500,Teal,2009,93102.86
4572,Honda,Ridgeline,Pink,2007,99884.33
4583,Ford,F-Series,Violet,1997,77641.54
3822,Dodge,Sprinter,Purple,2006,71744.46
4027,Ford,Flex,Indigo,2010,84397.46
4690,Toyota,4Runner,Mauv,2000,75847.61
4158,Lincoln,MKX,Yellow,2009,94440.35
4367,Pontiac,Bonneville,Maroon,1986,70410.7
4939,Dodge,Avenger,Yellow,1996,72679.62
4815,Buick,Skylark,Purple,1989,88576.34
4012,GMC,Sierra 1500,Turquoise,2005,82400.05
4837,Mazda,MX-5,Fuscia,2010,91370.21
3688,GMC,Jimmy,Orange,1999,83154.71
4095,Isuzu,Hombre,Fuscia,1999,89872.32
4805,Mazda,MX-3,Pink,1992,99459.69
3539,Ford,Ranger,Aquamarine,1985,82570.38
4249,Dodge,Stratus,Green,2003,91463.61
4419,Buick,Regal,Pink,1992,95805.39
4226,Dodge,Neon,Pink,1996,95809.16
4395,Ford,Ranger,Red,1994,82539.45
4916,Audi,A6,Yellow,2005,75802.65
4090,Lincoln,Continental,Puce,2000,80356.64
3803,Land Rover,Range Rover,Crimson,1986,98136.58
3617,Austin,Mini Cooper,Indigo,1964,77704.86
3644,Pontiac,Grand Prix,Red,1983,74099.22
4923,Suzuki,Samurai,Aquamarine,1993,73193.58
4142,Ford,Flex,Indigo,2010,77400.3
3739,Volkswagen,Passat,Mauv,2012,90876.65
4122,Ford,E350,Mauv,2004,89305.88
4322,Ferrari,F430,Maroon,2006,77381.95
4617,Pontiac,Grand Prix,Goldenrod,2008,85814.14
3717,GMC,Yukon XL 1500,Violet,2009,74178.21
3855,Infiniti,Q,Orange,2001,84393.05
4831,Pontiac,Grand Prix,Purple,1996,71216.43
3758,Mazda,Familia,Blue,1991,70695.34
3859,Ford,F150,Blue,2009,75319.61
